Review,Star
"Pelayanan nya ramah seluruh petugas nya dari tukang parkir,tukang sapu,security dan bag ke administrasian nya dan cepat tanggap jg 👍",5 bintang
"Ambil nomor antrian harus sebelum jam 12, sekarang yang masih heboh urusan e KTP",5 bintang
Semoga saya sabar,1 bintang
"KECEWA. Mohon informasinya. Saya sedang ikatan dinas selama 2 tahun di NTB, pulang hanya bisa sabtu/minggu. EKTP saya hilang saat pulang ke tangsel. Tp karena harus balik kerja saya minta tolong ayah saya untuk mengurus. namun ternyata …",1 bintang
"Pelayanan nya kurang bagus ! Mau mengurus surat kematian di persulit SANGAT DIPERSULIT !!!!!! Selalu aja ada yang kurang padahal sudah 6x kesini selalu ada yang kurang, pemberian informasi setengah 2 !!! Petugas kurang fokus ! Tolong lah …",1 bintang
"Gubernurnya harus Ahok dulu agar rate nya bisa 5 star, saya merasa tidak di layani dengan sungguh-sungguh",1 bintang
"kalo ada pertanyaan cek di instagram aja, lengkap dan mudah",5 bintang
"Nungguin sms buat ganti password gadapet dapet waktu itu jg sms verifikasi gadapet-dapet, gimana sih pelayanannya",1 bintang
"Disdukcapil Corner ada di Living World satu lantai dengan Living Kitchen dilantai paling atas dan Luar Biasa Pelayanan Ramah, Cepat dan Proffesional. Khusus melayani eKTP.
Hebat dan Sukses buat Disdukcapil Corner
Terima Kasih atas Pelayanannya",5 bintang
Sudah bolak balik bogor tangsel cape ga dapat solusi malah daftar onlin nya error terus,2 bintang
"Untuk wilayah tangsel.. silakan ke sini, pagi2 biar gk kena keramaian hehe..
parkir motor dan mobil nya tersedia banyak..",4 bintang
Sangat buruk aktivasi KTP sudah 1 minggu belum ada kabarnya ..,1 bintang
Error muluu nihh,1 bintang
"Pendaftaran Onlinenya belum berjalan mulus, udah daftar pengajuan kartu keluarga online dan sudah sampai di Disdukcapil malah di suruh ke kelurahan, dan daftar online akta anak bilangnya 7 hari kerja jadi ini sudah 10hari kerja blm ketemu …",3 bintang
"Pelayanan, petugasnya, dan informasi yg diberikan sangat jelas
Yg jd kendala hanyalah websitenya blm stabil
Mohon diperbaiki lagi websitenya, agar semua orang mendapatkan kode aktivasi. Dan semoga kedepannya diperbanyak slot blangko cetak EKTP nya 😇",5 bintang
"Server nya down terus, menyusahkan rakyat yg mau pindah domisili.",1 bintang
Mau ngurus pindah domisili dari tangsel ke jakarta aja gabisa. Suruh nyari yg gmbar pesawat ( pindah domisili ) nyatanya gaada gambar itu . Gmna ceritanya? Saya juga mau ngurus KK buat keluarga kecil saya! Kebangetan! Apa2 dipersulit begini!,1 bintang
Pastikan data2 sudah lengkap untuk keperluan anda.surat keterangan dari RT RW Kelurahan Kecamatan.untuk no antrian bisa diambil jam 7.30-12 Senin-Kamis 7.30-11.00 Jumat..untuk usia 60 keatas tidak perlu antri.langsung ke loket tujuan.bagi …,5 bintang
Website siakcapilnya suka lemot. connection out. servernya diambah dong,3 bintang
"Pelayanan msh blm teratur , bnyk yg tdk ambil nomor antrian lngsng ke loket.
Petugasnya sebaiknya lbh tegas klo tdk ambil nomor antrian tdk dilayani.Kasihan orng yg jauh2 antri dr pagi.",3 bintang
"mau daftar online kenapa gabisa terus...
mohon diberikan penjelasan apakah tutup apa masih bisa melayani walaupun daftar onlinenya ga bisa....",5 bintang
"Ngurusin "" SURAT PINDAH DATANG""
SARAN:
1) dateng maks pkl 06.45 pagi biar dapet no antrian muda.  Walopun kantor buka 07.30,  tetep dateng pagian karena banyak yg dateng lebih awal. Klo udah nyampe,  langsung ngantri buat dapetin karcis …",4 bintang
"Sebenarnya sih ramah orang front office,
Tapi kog pas di telpon, ngk diangkat2 ya",4 bintang
"wab nya sering eror
Ribet banget daftar KTP online gak bisa masuk-masuk
Cari iT yang bagus untuk benerin jangan makan gaji buta kerja gak becus",1 bintang
pengurusan berkas sangat dipersulit!!!,1 bintang
"Oke share dr pengalaman bikin kk & ktp baru:
1. Mau pindah domisili dari daerah asal ke tangsel ? Pastikan anda urus surat pindah dari kelurahan lama. Setelah itu minta surat pengantar dr rt rw di tempat yg baru, lalu ke Ktr Lurah yg baru, …",3 bintang
Saya ingin bertanya.  Apakah hari ini capil buka? Tolong di respon  terimakasih,3 bintang
Pelayanannya kurang akses mahasiswa sangat susah masa surat perizinan sudah 1 bulan belum jadi2 sedangkan yang baru 1 minggu sudah jadi. kalo tanda tangani surat di liat tanggal yg lebih dulu ya pa jangan yg baru bikin langsung di tanda tangani yang lama tidak di tanda tangani,1 bintang
Gimana mau maju kalo sistem nya bokbrok bgini...,1 bintang
Loket banyak. Tapi yang beroperasi terlihat setengah dari yang semestinya. Padahal antrian selalu padat,4 bintang
Buruk,1 bintang
Siang mau nanya klo mau mengurus perpanjang plank itu kudu ndaftar online g ? Tolong donk informasinya trimksh sebelumnya,1 bintang
"Bikin KIA susah minta ampun, sudah keducapil diminta kekelurahan, kelurahan belum jadi2, minta tanda terima berkas dikasih cuma kertas sobekkan ditulis tangan, setelah ngotot baru ditambah stempel kelurahan.
Katanya dana untuk KIA belum turun.",1 bintang
Sangat membantu,4 bintang
"Pelayanan di disdukcapil Tangsel ini sangat memuaskan! Pelayanan di kantor ini tidak dipungut biaya apapun, hanya dibutuhkan kesabaran ketika mengantre.
Jika ingin mengurus dokumen di disdukcapil kita hanya perlu mendaftar online dan …",5 bintang
Ampun dah pelayanan pemerintah sekarang.  Bikin ektp selalu gk bisa udah 1 tahun 5 bulan sy tidak punya ktp . Mau urus apa apa susah. Selalu resi dan resi.... Ampun..... Blangkon seberapa mahal nya seh agar bs dpt ektp,1 bintang
Beda sekarang tu pelayanannya. Suka deh,5 bintang
Pelayanan publik yang tidak baik. Ada nomor call center kantor tapi tidak pernah diangkat. Nomor WA juga tidak ada respon. Payah!,1 bintang
"Belajar cara melayani masyarakat dengan senyum, sapa salam, belajar pengunaan intonasii kata kata yang tepat. Layanin dengan tepat cepat, jangan cepat asal masyarakat udh pergi depan mata udah. Kasih solusi yang baik buat masyarakat. Ke …",1 bintang
"Saya mau login daftar online e ktp tapi keterangnya selalu halaman tidak dpt di akses lansung melalui browser,sistem menolak memproses permintaan anda.padahal 2 mggu sebelumnya saya sudah berhasil login untuk melihat jmlh kuota tersedia tp sekarang malah gak bisa..tolong solusinya ??",3 bintang
"saya mau daftar online tp lupa password.. sudah pakai fitur lupa password, dan berhasil.. tapi password tidak dikirim2 ke saya.. trus gmn dong mau login?",5 bintang
"Pelayanan nya payah.
Bagian ambil no antrian di depan kurang ramah. Terutama yg laki2, sibuk main hp
Lebih ramahan satpam bank. Dibayar jg hasil dr rakyat tp dr segi sistem pelayanan nya kurang.",1 bintang
Semoga kedepan pelayanan lbh baik,1 bintang
"INI GIMANA CARANYA DAFTAR ONLINE? SAYA SUDAH COBA DAFTAR, TAPI SETELAH DAFTAR GA DAPAT KODE AKTIVASI DI SMS. HERMAN JADI NYA.. MAU MODERN TAPI NANGGUNG",1 bintang
"Saya mau tlp ko tidak diangkat"" Ya masa tlp masuk berkali"" gaada yg mau angkat juga ? Soalnya mau tanya   saya mau online bphtb ini daerah depok tapi ktp sipembeli daerah tangsel dan harus hubungi kesini dlu
Apa yg kerja disana lagi tidur???😡😡😡",1 bintang
"harus daftar online tapi udah masuk web pilihan buat pindah domisili malah ga ada, katanya web bermasalah tapi jumlah antrian masuk malah bertambah, aneh. pak kepala capil mohon dicarika solusinya.",1 bintang
"Hari ini saya datang ke Disduk Capil Tangsel untuk pengurusan surat pindah dari Jakarta ke Tangsel, dan saya baru tahu, kalau harus register online, jadi saya langsung daftar online hari ini. Daftar ""lapor datang"", tapi pada saat …",2 bintang
"Sangat sangat sangat mengecewakan kapok berurusan dengan dukcapil Tangsel
GK service excellent bgt pelayanan buruh antrian lama dan pelupa petugasnya
D suruh Dateng lagi hari Jumat saya Dateng data lupa di siapkan dan harus menunggu berj jam lagii....",1 bintang
"Tgl 23 maret 2019 datang dan diberikan tanda terima dijanjikan 14hari kerja membuat akta kelahiran selesai, sdh lewat 14 hari kerja datang utk ambil berharap sdh selesai sesuai yg dijanjikan dong yaaah kemudian petugas dengan enteng bilang …",1 bintang
PELAYANAN NYA LAMA BANGET !!,1 bintang
"Perasaan penduduk Jakarta lebih banyak dari tangsel ya, tp knp di jakarta urus surat pindah dari RT sampai dukcapil 2 hari kelar, lah ini tangsel uda dtng jauh2 suruh daftar online dulu, coba daftar online ga bisa2 nik tidak terbaca terus. Mau sok online tp akhirnya mempersulit",1 bintang
"Saya sudah dua kali ke disdukcapil tangsel, Alhamdulillah lancar 👍
Pertama pengurusan surat pindah, syarat2nya surat pindah dari tempat asal, pengantar dari tempat yg akan ditempati (pengantar RT, RW, Kelurahan, dan Kecamatan), fotocopy …",4 bintang
"Salah satu dinas pelayanan masyarakan yang sudah mengalami kemajuan...walaupun antrinya tetep ramai....
Tp sayangnya walupun fasilitas sudah ok, tp petugasnya tetap melayani dengan ketus, tanpa senyum dan minim informasi 😑",3 bintang
Apakah tuk pembuatan KTP baru sudah siap  .dan kapankah bisa tuk cetaknya .saya sudah dpt resinya dari kantor kec pamulang,5 bintang
"Datang jauh jauh kesana buat daftar katanya gak bisa, harus booking lewat online, sedangkan saat melakukan pendaftaran online browser nya gagal terus buat isi nama lengkap, tempat kelahiran bahkan captcha,  nomor telponn buat ngehubungin …",1 bintang
"Alhamdulillah,saya pindahan dari cirebon ke tangsel,dan mengurus semuanya sendiri dan gratis pula,mengurus kartu keluarga,EKTP suami istri,dan akte lahir anak,semuanya saya urus sendiri dan tanpa mengeluarkan biaya sepeserpun (tp tetep …",5 bintang
web tidak bisa dibuka,4 bintang
"Bukanya tambah bagus dan mudah malah mmpersulit rakyat...
dengan sistem online yg ribet.
Makin payah indonesiaku",1 bintang
"saya asli solo kerja di tangsel, ktp saya hilang dicuri di tangerang, saya mau ngurus cetak ulang online ternyata belum bisa, hmm",2 bintang
"idenya bagus, mengumpulkan pengurusan dokumen kependudukan tangsel menjadi satu pintu saja. sayangnya cuma mau mengerjakan 75 nomor antrian saja dalam sehari. seharusnya bisa lebih banyak, karena penduduk tangsel 1.8 juta orang. kalau 1 persennya mau ngurus akte kelahiran atau rubah KK, butuh berapa hari ngerjainnya coba.",2 bintang
"Bersih, petugasnya jg ramah",5 bintang
"Berantakan. Sudah daftar online lalu mengisi form secara online pula dan sudah dapat no urut online... Tapi tetep aja pas datang kudu ngantri lagi, kudu isi form lagi (lahhhhh ngapain pas online cape2 isi form, jadi kerja dua kali ini mah). …",1 bintang
"pelayanan kurang, tolong dong kita cuma mau cetak ktp masa ia di persulit juga..",1 bintang
"Maaf saya kasih bintang 3 dlu karena pelayanan nya kurang memuaskan dah jauh2 alhasil nihil , niat mau cabut berkas jm 10 sampe di sini dah tutup utk pelayanan nya dan no antrian habis 🙄 tolong utk di tingkatkan lgi kinerjanya dan kasian yg rumah nya jauh harus bolak balik makan wkt 🙏 thanks",3 bintang
Hari ini tepatnya tgl 18 maret 2019 saya datang ke dukcapil tangsel sesuai nomor registrasi pendaftaran online. Untuk kepengurusan akte kelahiran. Saya daftar melalui online. Setau saya yg namanya sistem udh online seharusnya prosesnya …,1 bintang
Mau keruang konsultasi aja ribet bgt pake segala di ksh nomor antrian yg udah lewat !!!,2 bintang
"Perlu perbaikan dlm pelayanan nya, sistem antrian yg aneh, jaman sudah digital tapi utk urusan kependudukan masih konvensional. Habis waktu seharian disini utk urus surat pindah keluar.",1 bintang
Pelayanannya lelet,1 bintang
Pelayanan tidak menyenangkan,1 bintang
Pelayanan prima,5 bintang
Masih kacau krn pandemi jadi pelayanan belum normal,3 bintang
Bikin nambah susah masyarakat gak jelas sistemnya kacau tapi mau bergaya dengan sistem online,1 bintang
"minta infonya dong, saya mau pindah domisili ke bandung, gimana alurnya ya? posisi sekarang saya sudah di bandung takutnya bolak balik kesana tapi nihil",3 bintang
Pelayanan ramah dan cepat bikin e ktp.. baru kali ini ke kantor pelayanan pemerintahan sangat puas dgn pelayanannya,5 bintang
"Ktp orang tua hilang . Ngurus kedukcapil via online mudah dan cepat gak sampe 10 menit tinggal tunjukin bukti registrasi online isi data tunggu diloket 8 . Selesai ktp langsung jadi . Persyaratannya : print registrasi online , fotokopi kk …",5 bintang
Persiapkan gadget atau teman ngobrol yg asyik karena kalo kesiangan dapat no antrian akhir2 bakal nunggu lama. Dan sekarang pakai kuota. Jd pelayanan dalam sehari utu ada batasnya.,4 bintang
"mau daftar online, ga bisa terus.. tinggal nunggu SMS notif di hp ga di kirim-kirim kodenya. padahal pulsa ada..",1 bintang
"Sistem administrasi kependudukan di Indonesia sangat tidak efisien.
Untuk mengurus perbaruan kk, pindah alamat, dan pemisahan kk saja dilempar-lempar kelurahan-kecamatan-disdukcapil.
""Oh ini harus ke sini dulu mas, jangan langsung ke sini"" …",1 bintang
Mendagri SDH mengeluarkan peraturan bagi yg kehilangan E-KTP dapat bikin di daerah rantau cukup bawa foto copy KK ... Tp kenyataanya TDK bisa dgn berbagai alasan ..,1 bintang
Baru pertama kali saya ngurus sendiri dan membuktikan slogan yg ada tidak perlu calo! Saat datang kaget dengan ratusan orang yg ada untuk mengantri maupun yg hanya cari informasi tetapi kurang dari 1 jam saya mengurus nama yg berbeda di KTP …,3 bintang
"Padahal tempat duduknya sudah banyak tapi tetap kurang, selalu ramai juga",5 bintang
"Kenapa sih kalian ini ya (PNS pemerintahan Tangerang Selatan) selalu membuat saya kecewa, mulai dari perpanjang KK yg 1 tahun lebih tidak jadi-jadi. Minta uang administasi /ongkos akomodasi. Berkas yg sudah saya kasih tiba-tiba hilang, …",1 bintang
"pelayanan telfon nya kalo bisa bintang nol deh. minta bantuan pendaftaran online karena terkendala otp gak masuk ke hp tp respon kurang menyenangkan, saya minta bantuan lainnya ada gak soalnya gabisa ke kecamatan untuk urus ktp dan dijawab …",1 bintang
"Pelayanan Dukcapil yg buruk, rakyat harus antri panjang dari jam 6 pagi, hanya karena fibatasi pelayanan dan nomer antrian.",1 bintang
"Pelayanannya tdk maximal dibagian pendaftaran.
Hrsnya mereka kasih tau kelengkapan surat/lampiran
Yg hrs disiapkan. Jgn kita tanya 1 jwb 1.. akhirnya bolak balik utk kelengkapan datanya.
Habis kt disini berhari2.. sgt merugikan yg posisinya
Pekerja. Krn hrs bolak balik ijin off",1 bintang
Maaf sebelumnya saya ini perantaun berniat melamar kerja di perusahaan tapi syarat lamaran wajib ada keterangan tinggal/domisili   sedangkan di tangerang selatan tidak bisa menerbitkan surat domisili atau keterangan tinggal. Terus slusinya gimana? Apa ada yg bisa jawab,1 bintang
Katanya harus daftar online sebelum ambil antrian tapi ketika daftar online tak bisa verifikasi karena sistem tak mengirimkan notifikasi balasan (Sengaja atau memang kinerjanya kurang baik). Alhasil tidak bisa daftar online & KTP pun mangkrak tak bisa dicetak2 Wkwkwk,1 bintang
Ganti kk dr keluaran camat ke dukcapil buat bikin paspor aja ribet..staff ga well trained ksh info beda2..mau bikin paspor hrs ambil no dulu baru bisa print kk krn urgent..bad sistem..knp ga kyk kota lain bisa keluarin cap di draft kk jd ga bolak balik..,1 bintang
operator call centernya bikin emosi,1 bintang
"Mau daftar online gak bisa bisa, ini sistem nya atau orang nya yang error",2 bintang
Pelayanan nya menyenangkan cepat dan sdah sistem online,5 bintang
"Sistem nya jelek banget . Untuk pendaftaran cetak e -KTP selalu full sebelum
Jam 7:30 WIB . Ditambah lagi kuota yg terlalu sedikit untuk masyarakat. Tolong lebih di perhatikan lagi jika ingin kota maju .",1 bintang
Datangnya hrs pagi2 bgt jam 5.30 klo bs ud smpe dsna krna kuotanya dbatasi cm smpe 100org doang.....,5 bintang
"hari ini di jam 13:20 saya telpon yang angkat sepertinya anak sekolah atau apalah yang tidak mengetahui lebih paham mengenai hal hal KTP elektronik, dia nyuruh telpon lagi jam 3 giliran jam 3 di telpon tapi ga nyamnbung lagi nomer tersebut. …",1 bintang
"Saya mau pindah KK dr cilandak ke ciputat..dan KK ciputat saya sudah jd sebulan itu juga pak rt yg urus..cm klw masalah eKTP harus urus sendiri..
Saya kekecamatan mnt bikinKTP baru.saya cm di ksh selembar kertas yg isinya hrs wa klw mau …",1 bintang
"Ini untuk buat KTP elektronik cara perekamannya gimana ya? Di website tulisanya sedang dalam perbaikan sistem. Apa saya harus ke Disdukcapil, atau bagaimana? Mohon dibantu. Terima kasih.",2 bintang
"Cuma urus pindah alamat ( masih satu kecamatan hanya beda kelurahan ) ribet nya setengah modar..
Ini sudah tahun 2019 looh...",1 bintang
"saya menghubungi disdukcapil hanya untuk konfirmasi kenapa tanggal lahir di KTP yang dicetak tidak sama dengan tanggal lahir yang data  online, tapi sampai berulang kali telpon gak pernah diangkat, keliatanya telepon di dikdukcapil hanya …",5 bintang
"Pelayanan lama,system tidak bagus.menunggu dari subuh smpai jam 3 sore baru selesai.terlalu lelet kinerjanya.tidak ada prioritas untuk orang hamil besar",1 bintang
Saya sudah daftar e-KTP online. Sudah gunakan nombor telepon dan email. Tetapi mengapa belum terima kode verifikasi. Pulsa ada padahal. Tolong bantu,2 bintang
"Alhamdulillah..sempet ngerasain layanan online pas awal. Jadi masih lancar jaya. Cuma kurang kordinasi aja dari pemda sampe ke kecamatan sd rtrw.. Kita dukung aja semoga makin baik. Dalam banyak hal, sistem online tangsel lebih baik lho daripada Jakarta..",5 bintang
daftar online dateng langsung diproses keren dan tidak ada biaya2 lagi kedepannya semoga tambah maju dukcapil tangsel,5 bintang
"Tidak menyenangkan, naruh berkas  surat pindah dari gandaria utara jaksel, hari rabu tanggal 2januari 2019, diteruma oleh rouf  nunggu sampai jam 3 tidak kelar balik lagi hari jum'at jam 1  disuruh tunggu berkas keselip sampai jam 2 …",1 bintang
"lebih baik datang lebih pagi, pastinya akan padat. ruangannya sih enak.. ada tempat bermain anak juga, full ac jadi gak kegerahan..",5 bintang
Sy nysel bnget jdi wrga tangsel. Ngrus akte ma kk aj susah bnget,1 bintang
"Pelayanan Ramah dan Cepat. Agak Antri di awal karena kesini pas liburan, tapi kalau datang pagi cepet kok. Area berac, dan nyaman. Sukses Terus",5 bintang
"Pertama kali ke dukcapil Tangsel untuk urus akte kelahiran yang hilang sekalian revisi Nama, saya pikir akan lama, Susah Dan ribet.
Ternyata di luar dugaan sangat mudah, tidak terlalu lama dan juga tidak ribet.
Saya dibantu di loket 5/6, …",5 bintang
"AMBURADUL DAN GAK PROFESIONAL.
TENAGA KERJA DAN SISTEM WEB SEMUA GAK ADA GUNA NYA.",1 bintang
Masa eror mulu mau cetak ktp daftat online gabisa2 ... sekali nya bisa penuh terus .. lalu harus gimana ????,1 bintang
Mau ngasih saran untuk yg mau daftar cetak E-KTP dan status selalu penuh silakan dicoba pada saat pukul 00:00,3 bintang
"Dinas Kependudukan dan Pencatatan Sipil kota Tangerang Selatan adalah tempat dimana kita mengurus data data kepenfudukan kita seperti KTP, Kartu Keluarga, serta surat kependudukan lainnya. Pelayanannya cukup baik, sudah menggunakan nomor …",4 bintang
"Biasanya pelayanannya baik, tetapi kemarin tanggal 20 Agustus 2018, pelayanannya saya nilai kurang. Saya datang pukul 09.15 . Saya antri tunggu panggilan. Sampai pukul 11.30 No antrian yang dipanggil adalah no 35. Sampai pukul 14.00 lewat, …",4 bintang
"2 kali kesana, pertama minggu kemarin, mau cetak KTP sendiri, alhamdulillah dapet yang ngelayaninnya super baik dan informatif. Yang kedua tadi siang, mau cetak KTP suami, entah lagi capek atau apa ya.. Ga sememuaskan yg minggu lalu 😅, …",5 bintang
Website susah bgt buat login .,1 bintang
"Pelayanan semakin mudah dan sangat baik, ruangannya sudah di renov semakin bagus dan semakin sejuk.. Hari ini saya berkunjung dan tertinggal atau terjatuh kunci motor saya disana jika ada yang melihat kunci motor Honda bertali abu abu sudah …",5 bintang
"No tidak dapat di hub,  ingin menanyakan syarat syarat ganti kk, sabar, sabar,",1 bintang
"Jujur aja, loket yg dibuka banyak. Masing2 loket bisa lebih 1 petugas yg layanin. Yg jadi masalahnya, petugas ato karyawan2 yg di loket dukcapil terkadang kurang informatif aja ke masyarakat yg butuh info",3 bintang
"Alhamdulillah lancar, yang penting semua berkas siap, pelayanannya juga baik, antriannya tertib, datang lebih pagi biar cepet selesai. Tidak ada ada biaya apapun. Lokasi dari stasiun serpong naik ojek online sekitar 5 menit sampai.",5 bintang
"Ruangan panas, antrian gk jelas, alat daftar onlinenya cuma satu seluas ini tangsel , tempat kayak pasar,  tempat duduk gk cukup jadi bnyak yang berdiri,
Disuruh daftar online tapi gk bisa dibuka di hape jadi hrus ttp datang ke sini, KPK …",1 bintang
pengurusan KIA petugasnya istirahat siang sampai jam berapa ya kita nunggu sampai 13.30 blm.jg.nongol satupun padahal pemohon sdh.berjubal menuggu.mks. sbg.mohon info.,2 bintang
Error' tak berujung...,1 bintang
"Tanggal pengurusan ktp selalu penuh, bilang website di buka jam setengah 8, tapi jam setengah 8 tidak bisa di buka. Saat di buka jam 8 sudah penuh tanggal pengurusan KTP nya. Aneh aneh",1 bintang
"Mohon informasinya, untuk persyaratan pindah domisili apa saja ya? mau pindah dari Kab. Bekasi ke TangSel. Terima kasih atas bantuannya.",4 bintang
"Tidak manusiawi dan kerjanya berantakan.  No urut tidak ada guna. Jam kerja seharusnya 7.30 kenyataannya pelayanan baru mulai jsm 9.00.
SANGAT TIDAK PROFESIONAL",1 bintang
"Bikin akta lahir ampe 3x salah, baru bener yg ke-4 nya, pegawainya mungkin harus di latih Baca, Tulis, Ngetik, Hitung.
Dosa kalian mempersulit orang.
Dikira org kerja punya waktu bolak2 balik #potonggaji.
SOP nya 14 hari kerja, tp hanyalah …",1 bintang
"selamat pagi ba[ak/ Ibu, saya mau tanya untuk merubah stempel KK lama masih Camat, itu bisa langsung ke Disdukcapil atau wajib kekeluhan dulu? makasih",4 bintang
"Pelayanannya ga baik, Gue mau buat rekening perlu KTP, KTP gue ga jadi2. Temen gue buat dihari yang sama dengan gue dia jadi duluan. Resi ktp gue diperpanjang tapi malah gabisa, katanya udah dikirim tapi malah ga ada. Ah elah kapan si Bener",1 bintang
"Banyak pengunjung nya👍, klo boleh saran loket nya dibanyakin, salam MRC”Mutiara RentCar” rental mobil diciputat, tangerang selatan",5 bintang
"Bagus pelayanan nya, kalau yang mau ngurus Ktp wajib daftar online dulu, pilih tanggal kapan kita bisa hadir di kantor dukcapil",4 bintang
Pelayanan sangat tidak baik. Deadline pembuatan dokumen tanggal 15 agustus namun sampai sekarang dokumen belum dibuat. Pembuat beralasan bahwa kurang fotokopi ktp saksi padahal saat pemeriksaan berkas sebelumnya sudah dinyatakan lengkap. Kalau ga butuh banget juga gaakan mau lagi kesini😊,1 bintang
"aktivasi pendaftaran online sangat lama, pengiriman kode aktivasi tidak langsung dikirim, respon WA sangat lama, telpon tidak diangkat. Untuk apa mencantumkan nomor telpon jika tidak diangkat. Untuk apa pendaftaran online jika sistem masih tidak berjalan dengan baik.",1 bintang
"Ngurus KTP istri, pindahan dari bandung, dari awal nikah sampe sekarang punya anak 2, ga jadi2, malah NIK istri dibilang bentrok sama punya org lain. Data NIK kan nasional boooss!!",1 bintang
"Memuaskan, saya pindah tempat sekaligus bikin ektp yg baru bisa jadi gak sampai sebulan",5 bintang
"Bangunannya besar dan luas.
Pelayanannya cukup Cepat!
Area Parkir juga luas (Parkirannya Outdoor).
Untuk Parkirnya, BELUM menggunakan Secure Parking, hanya menggunakan jasa warga setempat sebagai penjaganya Parkirnya.
Ruangan berAC, …",4 bintang
"tolong dong pelayanan msyrktnya di perbaiki ibu,bapak.. udh jauh nyuruh org byar mhal ktanya cepet tp jnji tinggl jnji 1bln berlalu .. ampun dah",1 bintang
"Pelayanan buruk
Tempat duduk penuh
Jam kerja kurang lama
Tidak melayani dengan senyuman
Panas, sumpek",1 bintang
"ramai sekali tiap harinya.
yg penting ada sistem antrian yg bagus. dan kita diarahkan ke tempat yg tepat.
mereka jam 12-14 istirahatnya bergilir. mementingkan kesabaran warga yg masih mengantri.
asumsi tiap hari ada 800-1300 warga yg mengurus kependudukannya",5 bintang
"Pengalaman pembuatan akte, tolong di permudah lagi. Sudah beberapa balik masih harus memenuhi syarat. Kita pribumi pak / bu, tolong di permudah lagi ( kita sudah mau berusaha datang sampai 3 kali, tapi masih terbentur syarat yang sepele ). Tolong di bantu.",3 bintang
Sy mau konfirmasi...no KTP n no KK utk wilayah serpong utara ketika dcek melalui media online..knapa tdk terdaftar ya?,1 bintang
Kalo Dateng ke dukcapil tidak sesuai dengan tanggal penentuan apa masih bisa di ambil surat yang sudah di bikin di sana ???,2 bintang
Pelayanan kurang maksimal dibandingkan daerah asal sy. Semua urusan administrasi dibikin ribet. Bikin srt pindah dtg aja 3 minggu.,1 bintang
Kenapa KK saya belum terdaftar di online ya pak/bu.soalnya saya tidak bisa registrsi kartu sim card hand phone.mhon bantuanya.,5 bintang
pagi saya mau cetak ulang E-KTP kok engga bisa log-in diwebsite nya yaa???,5 bintang
bagus,5 bintang
"Sy buat akte kelahiran & perubahan kk lama sampe saat ini blm selesai kata'y blangko'y lg kosong,apa betul pak??",1 bintang
"Ga kondusif.. Kaya di terminal ga teratur
Orang hamil dan lansia kasian kalau kesini",1 bintang
Ini mau daftar sekolah kok dipersulit gara gara kk belum tanda tangan catatan sipil dadakan amat tidak disosialisasikan aneh negara ini,1 bintang
Lumayan lah pelayanan nya. Kalau g mau ngantri dateng pagi. Kalau jam 9 udh rame. Free WiFi sih tapi gak jalan internet nya,3 bintang
"Pelayanan nya lambat, terutama R. Konsultasi. Cuma 1 ruangan, tp butuh waktu lama per orang. Pak Yahya nya juga sering hilang entah kemana, jd nunggu nya lama. No urut antrian 18 jam 1 aja blum dapat giliran.
Kalau memang prosesnya lama, …",1 bintang
"Petugas ramah, profesional & cekatan, dapat no antrian 66 +/- 1,5 jam di panggil. Yg kurang, kamar mandi kotor & cuma ada 1",5 bintang
Yg bagian konsultasi cuma 1 orang..  Jadi bikin antrian panjang..  Lama,2 bintang
"Coba dong kalo emang harus upacara gak usah semua pns ikutan, rolling aja biar yang bukan pns gak kena getah macetnya. Udah tau lapangan seemprit pegawai bejibun upacara mulu. Mending kalo tuh kendaraan pns pada gak parkir di jalan, ini …",1 bintang
"Payah cuy.. gw lebih milih pake uang bayar mahal tp jadinya cepet, dr pada ga pake uang begini tp kerjaan jadi lelet..",1 bintang
"info penting : nomor antrian dari Senin - Kamis cuma bisa diambil hingga jam 12 siang. Khusus Jumat sampai jam 12.30
kalau mau ambil nomor antrian setelah itu. Wassalam #pengalamabpribadi 😂😂😂",3 bintang
"Perbaiki dan update server, agak tidak sulit untuk masuk website, karena proses waiting time akses website begitu lama.",5 bintang
"no tlp nya ga diangakat2 waktu di hub, padahal jam kerja. Websitenya juga ga bisa diakses . Parah",1 bintang
"Meskipun sdh menggunakan no antrian,  namun pelayanannya msh sgt lamban.  Saya menunggu selama krg lebih 6 jam hanya utk menunggu tanda tangan KK.  Tolong kepala dinas dukcapil mengevaluasi kembali,  mengapa masyarakat hrs menunggu selama ini.",1 bintang
"Jam 6.30 antrian sudah dimulai, meski loket/kantor baru buka jam 07.30 WIB.",5 bintang
"Yang angkat telepon jutek banget. Tidak punya sopan santun penerima telepon. Ditanya baik-baik, orang belum selesai ngomong sudah dipotong. Tidak informatif. Akhir percakapan saya bilang terima kasih, malah diem langsung tutup telepon.",1 bintang
"Blanko tidak tersedia dalam waktu yg belum bisa ditentukan.
Really?",1 bintang
"Fasilitasnya memadai, nyaman, rapi, sejuk, harum. Very organized. Pelayanannya bagus, antri tidak lama. Mudah dan tidak dipersulit dalam mengurus dokumen.",5 bintang
Asli benerin dah websitenya,1 bintang
"Petugas ramah, memberikan arahan dan informasi dgn jelas. Ruang tunggu cukup nyaman (saat antrian tdk terlalu penuh).",5 bintang
Lamban kerjanya,1 bintang
Bagus,5 bintang
